,639-3,639-1,639-2B,Family,Native,eng,fra,spa,zho,rus,deu
0,aar,aa,aar,Afro-Asiatic,Afaraf,Afar,afar,afar,阿法尔语l; 阿法语,афар,Afar
1,abk,ab,abk,Northwest Caucasian,Аҧсуа,Abkhazian,abkhaze,abjaso,阿布哈兹语,абхазский,Abchasisch
2,afr,af,afr,Indo-European,Afrikaans,Afrikaans,Afrikaans,Afrikaans,阿非利堪斯语; 南非荷兰语; 南非语,африкаанс,Afrikaans
3,aka,ak,aka,Niger–Congo,Akan,Akan,akan,acano,阿坎语,акан,Akan
4,amh,am,amh,Afro-Asiatic,አማርኛ,Amharic,amharique,amárico,阿姆哈拉语,амхарский,Amharisch
5,ara,ar,ara,Arabic,العربية,Arabic,arabe,árabe,阿拉伯语,арабский,Arabisch
6,arg,an,arg,Indo-European,aragonés,Aragonese,aragonais,aragonés,阿拉贡语,арагонский,Aragonisch
7,asm,as,asm,Indo-European,অসমীয়া,Assamese,assamais,asamés,阿萨姆语,ассамский,Asamiya
8,ava,av,ava,Northeast Caucasian,авар,Avaric,avar,avaro,阿瓦尔语,аварский,
9,ave,ae,ave,Indo-European,avesta,Avestan,avestique,,阿维斯陀语,авестийский,
10,aym,ay,aym,Aymaran,aymar,Aymara,aymara,aimara,艾马拉语,аймара,Aymara
11,aze,az,aze,Turkic,Azərbaycan,Azerbaijani,azéri,azerbayano,阿塞拜疆语,азербайджанский,Aserbaidschanisch
12,bak,ba,bak,Turkic,башҡорт,Bashkir,bachkir,baskir,巴什基尔语,башкирский,Baschkirisch
13,bam,bm,bam,Niger–Congo,bamanankan,Bambara,bambara,,班巴拉语,бамана,
14,bel,be,bel,Indo-European,беларуская,Belarusian,biélorusse,bielorruso,白俄罗斯语,белорусский,Weißrussisch
15,ben,bn,ben,Indo-European,বাংলা,Bengali,bengali,bengalí,孟加拉语,бенгальский,Bengalisch
16,bis,bi,bis,English Creole,Bislama,Bislama,bichlamar,bislama,比斯拉马语; 比斯拉玛语,бислама,Bislama
17,bod,bo,tib,Sino-Tibetan,བོད་ཡིག,Tibetan,tibétain,tibetano,藏语; 卫藏语,тибетский,Tibetisch
18,bos,bs,bos,Indo-European,bosanski,Bosnian,bosniaque,bosnio,波斯尼亚语; 波士尼亚语,боснийский,Bosnisch
19,bre,br,bre,Indo-European,brezhoneg,Breton,breton,bretón,布列塔尼语,бретонский,Bretonisch
20,bul,bg,bul,Indo-European,български,Bulgarian,bulgare,búlgaro,保加利亚语,болгарский,Bulgarisch
21,cat,ca,cat,Indo-European,català,Catalan,catalan,catalán,加泰隆尼亚语; 加泰罗尼亚语; 加泰隆语; 瓦伦西亚语,каталанский,Katalanisch
22,ces,cs,cze,Indo-European,čeština,Czech,tchèque,checo,捷克语,чешский,Tschechisch
23,cha,ch,cha,Austronesian,Chamoru,Chamorro,chamorro,chamorro,查莫罗语,чаморро,Chamorro
24,che,ce,che,Northeast Caucasian,нохчийн,Chechen,tchétchène,checheno,车臣语,чеченский,Tschetschenisch
25,chu,cu,chu,Indo-European,ѩзыкъ словѣньскъ,Old Church Slavonic,slavon d'église vieux,eslavo eclesial,古教会斯拉夫语,церковнославянский,Altkirchenslawisch
26,chv,cv,chv,Turkic,Чӑваш,Chuvash,tchouvache,chuvasio,楚瓦什语,чувашский,Tschuwaschisch
27,cor,kw,cor,Indo-European,Kernewek,Cornish,cornique,córnico,康沃尔语; 康瓦尔语,корнский,Kornisch
28,cos,co,cos,Indo-European,corsu,Corsican,corse,corso,科西嘉语,корсиканский,Korsisch
29,cre,cr,cre,Cree,ᓀᐦᐃᔭᐤ(Nehiyāw),Cree,cree,cree,克里语,,
30,cym,cy,wel,Indo-European,Cymraeg,Welsh,gallois,galés,威尔士语; 威尔斯语,валлийский,Walisisch
31,dan,da,dan,Indo-European,dansk,Danish,danois,danés,丹麦语,датский,Dänisch
32,deu,de,ger,Indo-European,Deutsch,German,allemand,alemán,德语,немецкий,Deutsch
33,div,dv,div,Indo-European,ދިވެހިބަސ,Divehi,maldivien,maldivo,迪维希语,дивехи,Dhivehi
34,dzo,dz,dzo,Sino-Tibetan,རྫོང་ཁ,Dzongkha,dzongkha,dzongkha,宗喀语; 不丹语,дзонг-кэ,Dzongkha
35,ell,el,gre,Indo-European,Ελληνικά,(New) Greek,grec (moderne),griego (moderno),现代希腊语,(ново)греческий,(Neu)griechisch
36,eng,en,eng,Indo-European,English,English,anglais,inglés,英语,английский,Englisch
37,epo,eo,epo,constructed,Esperanto,Esperanto,espéranto,esperanto,世界语,эсперанто,Esperanto
38,est,et,est,Uralic,eesti,Estonian,estonien,estonio,爱沙尼亚语,эстонский,Estnisch
39,eus,eu,baq,isolate,euskara,Basque,basque,euskera; vasco,巴斯克语,баскский,Baskisch
40,ewe,ee,ewe,Niger–Congo,Eʋegbe,Ewe,éwé,efé,埃维语; 幽语,эве,Ewe
41,fao,fo,fao,Indo-European,føroyskt,Faroese,féroïen,feroés,法罗斯语; 法罗语,фарерский,Färöisch
42,fas,fa,per,Indo-European,فارسی,Persian,persan,persa,波斯语,персидский,Persisch
